"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
32,"1","2024-11-26T10:21:09.267598Z",71,30.955,"Depression","I just feel so numb all the time, like nothing matters anymore.","2024-12-11T04:10:40.963405Z"
33,"1","2024-11-26T10:21:16.658829Z",72,6.718,"Depression","No one really cares about me, so what's the point?","2024-11-26T10:21:16.658829Z"
34,"1","2024-11-26T10:21:25.505151Z",73,8.31,"Depression","Waking up feels like a punishment these days.","2024-11-26T10:21:25.505151Z"
35,"1","2024-11-26T10:21:40.104708Z",74,13.977,"Depression","I'm constantly exhausted, even when I haven't done anything.","2024-11-26T10:21:40.104708Z"
36,"1","2024-11-26T10:21:47.464266Z",75,9.444,"Depression","Everything I do feels meaningless, like I'm stuck in a fog.","2024-11-26T10:23:01.302582Z"
37,"1","2024-11-26T10:23:21.307154Z",76,10.646,"Depression","I hate myself for feeling this way, but I can't stop.","2024-11-26T10:23:21.307154Z"
38,"1","2024-11-26T10:23:36.095968Z",77,14.084,"Depression","I wish I could just disappear and not have to deal with life.","2024-11-26T10:23:36.095968Z"
39,"1","2024-11-26T10:23:44.330230Z",78,7.643,"Depression","I can't even remember the last time I felt happy.","2024-11-26T10:23:44.330230Z"
40,"1","2024-11-26T10:23:53.731891Z",79,8.671,"Depression","I’m tired of pretending to be okay when I’m breaking inside.","2024-11-26T10:23:53.731891Z"
41,"1","2024-11-26T10:24:00.811549Z",80,6.58,"Depression","Every day feels like a struggle I’m losing.","2024-11-26T10:24:00.811549Z"
42,"1","2024-11-26T10:24:08.123598Z",81,6.589,"Suicidal","I can't take this pain anymore; I just want it all to stop.","2024-11-26T10:24:08.123598Z"
43,"1","2024-11-26T10:24:15.088513Z",82,6.464,"Suicidal","Would anyone even notice if I were gone?","2024-11-26T10:24:15.088513Z"
44,"1","2024-11-26T10:24:22.197696Z",83,6.414,"Suicidal","Sometimes I wonder if death would be easier than living.","2024-11-26T10:24:22.197696Z"
45,"1","2024-11-26T10:24:25.236508Z",84,2.429,"Suicidal","I’ve been thinking about how it might feel to end things.","2024-11-26T10:24:25.236508Z"
46,"1","2024-11-26T10:24:27.900658Z",85,1.951,"Suicidal","There’s no escape from this misery—I don’t see the point in living.","2024-11-26T10:24:27.900658Z"
47,"1","2024-11-26T10:24:32.124112Z",86,3.767,"Suicidal","I’ve written letters just in case something happens to me.","2024-11-26T10:24:32.124112Z"
48,"1","2024-11-26T10:24:35.839701Z",87,3.019,"Suicidal","I’m scared of what I might do to myself tonight.","2024-11-26T10:24:35.839701Z"
49,"1","2024-11-26T10:24:38.779101Z",88,2.395,"Suicidal","Nobody understands how close I am to giving up.","2024-11-26T10:24:38.779101Z"
50,"1","2024-11-26T10:24:41.879735Z",89,2.418,"Suicidal","I’ve been googling ways to make this all go away for good.","2024-11-26T10:24:41.879735Z"
51,"1","2024-11-26T10:24:44.566941Z",90,2.168,"Suicidal","This is my goodbye to everyone who tried to help.","2024-11-26T10:24:44.566941Z"
52,"1","2024-11-26T10:24:51.097670Z",91,5.831,"Anxiety/Stress","I can’t stop overthinking everything—my brain won’t shut up.","2024-11-26T10:24:51.097670Z"
53,"1","2024-11-26T10:24:54.083487Z",92,2.396,"Anxiety/Stress","Even small tasks feel so overwhelming lately.","2024-11-26T10:24:54.083487Z"
54,"1","2024-11-26T10:24:56.519972Z",93,1.814,"Anxiety/Stress","My chest feels tight, and it’s hard to breathe when I think about the future.","2024-11-26T10:24:56.519972Z"
55,"1","2024-11-26T10:24:59.139193Z",94,2.029,"Anxiety/Stress","I’m so worried I’m going to mess everything up.","2024-11-26T10:24:59.139193Z"
56,"1","2024-11-26T10:25:01.582451Z",95,1.808,"Anxiety/Stress","Every time my phone rings, I feel like I’m going to have a panic attack.","2024-11-26T10:25:01.582451Z"
57,"1","2024-11-26T10:25:03.939259Z",96,1.768,"Anxiety/Stress","I keep replaying that awkward conversation in my head—it’s driving me crazy.","2024-11-26T10:25:03.939259Z"
58,"1","2024-11-26T10:25:06.159080Z",97,1.507,"Anxiety/Stress","I feel like I’m drowning in all these responsibilities.","2024-11-26T10:25:06.159080Z"
59,"1","2024-11-26T10:25:08.827481Z",98,2.015,"Anxiety/Stress","Why does it feel like everyone’s judging me all the time?","2024-11-26T10:25:08.827481Z"
60,"1","2024-11-26T10:25:11.331714Z",99,1.809,"Anxiety/Stress","I just want to curl up and hide from the world for a while.","2024-11-26T10:25:11.331714Z"
61,"1","2024-11-26T10:25:13.585183Z",100,1.69,"Anxiety/Stress","My to-do list keeps growing, and I don’t know how I’ll ever get through it.","2024-11-26T10:25:13.585183Z"
62,"1","2024-11-26T10:25:20.442567Z",101,6.148,"Normal","Had a chill day at the park today—just what I needed!","2024-11-26T10:25:20.442567Z"
63,"1","2024-11-26T10:25:22.581956Z",102,1.542,"Normal","Excited for the weekend! Anyone have fun plans?","2024-11-26T10:25:22.581956Z"
64,"1","2024-11-26T10:25:25.059804Z",103,1.817,"Normal","Finally finished my favorite show—what should I watch next?","2024-11-26T10:25:25.059804Z"
65,"1","2024-11-26T10:25:27.102007Z",104,1.449,"Normal","Just cooked the best pasta ever! Feeling like a chef.","2024-11-26T10:25:27.102007Z"
66,"1","2024-11-26T10:25:29.719958Z",105,1.896,"Normal","Hanging out with friends tonight, can’t wait!","2024-11-26T10:25:29.719958Z"
67,"1","2024-11-26T10:25:32.244719Z",106,1.944,"Normal","Work was busy, but I feel good about what I got done today.","2024-11-26T10:25:32.244719Z"
68,"1","2024-11-26T10:25:34.743116Z",107,1.866,"Normal","Saw a beautiful sunset on my way home—life’s little joys.","2024-11-26T10:25:34.743116Z"
69,"1","2024-11-26T10:25:37.015706Z",108,1.68,"Normal","Feeling productive today! Got a lot checked off my list.","2024-11-26T10:25:37.015706Z"
70,"1","2024-11-26T10:25:39.536794Z",109,1.893,"Normal","Spent some time organizing my room—it feels so nice now.","2024-11-26T10:25:39.536794Z"
71,"1","2024-11-26T10:25:41.980729Z",110,1.853,"Normal","Nothing special happening today, but I’m content.","2024-11-26T10:25:41.980729Z"
